StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,G_solv,solv_dip,LsoluHsolv,LsolvHsolu,DeltaG_sol,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,,,,,,,,,,,,,,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
ABFDTYJJUSUWRB-UHFFFAOYSA-N,CN(C)C1=CC=C(C=C1)N=C=NC1=CC=C(C=C1)N(C)C,Train,-0.400578187,280.373,88.75,241.501,-878.570892,4.3509,0.23692,0.1598,-0.01094,579.6759033,0,-2.83775,-0.51148,0.65003,-2.00193,,,,,,,,,,,,,,41,11184.5,23950.5,24401.5,0.370229895,0.397967092,0.954754534,5,-102.5417838,-260.6045831,158.0627994,7727,-0.033726489,0.009223196
ABRHLWPJYNIPHN-UHFFFAOYSA-N,O=C(NC1=CC=C(NC(=O)C2=CC=CC=C2)C=C1)C1=CC=CC=C1,Train,-3.500180194,316.359,337,244.277,-1031.550072,9.8395,0.19705,0.18612,-0.019724,589.2887573,-1.3404,-1.95217,-0.67022,0.68005,-2.56763,,,,,,,,,,,,,,40,8958.5,21860,28320,0.28104541,0.357366792,0.779661017,2,40.00322212,-294.5314179,334.5346401,8623,0.038795621,0.015887881
ACGUYXCXAPNIKK-UHFFFAOYSA-N,OC1=C(CC2=C(O)C(Cl)=CC(Cl)=C2Cl)C(Cl)=C(Cl)C=C1Cl,Train,0.394826213,406.907,163.75,211.898,-3410.528914,2.3137,0.20381,0.2177,-0.008158,517.7671509,-1.4061,-0.93185,-0.70305,0.5304,-1.27138,,,,,,,,,,,,,,27,14357.5,19727,22234.5,0.566998231,0.646569635,0.799783716,10,105.777788,-32.98882151,138.7666095,1293,0.038510203,0.018818269
AFHJQYHRLPMKHU-GIWDNFATSA-N,[H]C1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1([H])C2=C(C(O)=CC=C2)C(=O)C2=C1C=C(CO)C=C2O,Train,-1.221572041,418.4,145,331.64,-1490.209706,7.4498,0.16797,0.20706,-0.025455,602.9431152,-6.70446,-0.66575,-0.79796,0.53875,-6.70446,,,,,,,,,,,,,,52,18506.5,20669,24750.5,0.672693544,0.847812267,0.885122406,13,67.77609113,-250.8838819,318.659973,5066,0.037973352,0.019619265
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,OC(=O)C1=CC=CC(=C1)N(=O)=O,Train,0.444041636,167.121,141,101.25,-625.280698,7.3856,0.14264,0.27409,-0.012756,327.256012,-2.14739,-0.02305,-0.71675,0.81559,-1.64403,,,,,,,,,,,,,,17,6873.5,9180,15108,0.36627907,0.46969697,0.985221764,7,50.03266,-163.2515444,213.2842044,4999,0.040965432,0.017775844
AGUIVNYEYSCPNI-UHFFFAOYSA-N,CN(C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,Test,0.243700949,287.145,129.09,134.213,-1144.818152,5.5908,0.09676,0.29002,-0.019889,422.6020813,-3.01988,-0.30015,-0.4822,0.62563,-1.14436,,,,,,,,,,,,,,25,11925,12980,18724,0.637854463,0.713593413,0.984965259,5,252.406212,-145.7633194,398.1695313,7899,0.050407587,0.01772212
AIONOLUJZLIMTK-AWEZNQCLSA-N,COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(O)C=C2O,Test,-0.468519224,302.284,225.53,195.007,-1069.299941,9.0471,0.19206,0.19906,-0.018155,516.8052979,-3.89505,-0.50378,-0.72415,0.56186,-3.89505,,,,,,,,,,,,,,36,11272,19360.5,22181,0.467741935,0.587884037,0.80371675,8,98.41427949,-195.9585873,294.3728668,4571,0.035619281,0.00766009
AIVJRJRAYJHCCR-DPAQBDIFSA-N,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OP([H])(O)=O,Train,-2.827756863,450.642,158.5,365.024,-1623.692648,3.5675,0.24742,0.21237,-0.013361,768.3504639,-3.04284,-10.3563,-1.13174,2.18847,-0.85437,,,,,,,,,,,,,,78,12640,31963.5,34778,0.356750078,0.360158924,0.960479056,6,-56.00154445,-124.1766201,68.17507561,2273,-0.050608536,0.020001404
AJVBPNRMKNARPG-UHFFFAOYSA-N,NC(=O)C1=CC(=CC=C1)S(N)(=O)=O,Train,-0.921291877,200.218,175.5,147.691,-1004.810486,7.5674,0.18608,0.24728,-0.022646,374.5038147,-2.61934,-0.58144,-1.12119,2.29106,-2.29683,,,,,,,,,,,,,,21,8863,11723,16004,0.528164082,0.715148067,0.981738469,5,35.25566776,-269.0381051,304.2937728,4617,0.048408679,0.019808062
ALYNCZNDIQEVRV-UHFFFAOYSA-N,NC1=CC=C(C=C1)C(O)=O,Train,0.337495442,137.138,187.55,110.42,-476.11803,6.4036,0.21401,0.19333,-0.013436,310.6942444,-1.40858,-0.19584,-0.83404,0.80126,-2.24262,,,,,,,,,,,,,,17,5824.5,8792,14158.5,0.373493976,0.539130435,0.66867473,4,30.833561,-147.0447344,177.8782954,3172,0.048378546,0.020695249
