MOF,LCD (Å),LCD/PLD,PLD (Å),density (g/cm3),Pore Volume (cm3/g),Porosity,Surface Area (m2/g),%C,%H,%O,%N,%Halojen,%Metalloids,%Ametal,%Metal,O-to-M,MP,TDU,DU,U_H2 (mol/kg),D_H2 (cm2/s)
ABEXEN_clean,18.8079,1.37097109267881,13.71867,0.674371,1.1166,0.7530026586,2447.09,50,25,20,0,0,0,2.5,2.5,16,5,181,0.754166666666667,0.0705978706,0.00226770786442152
ABUWOJ_clean,5.07969,1.26034701356444,4.03039,1.15833,0.536118,0.62100156294,1506.68,42.8571428571429,25,25,0,0,0,0,7.14285714285714,7,16.6666666666667,69,0.71875,0.0432743636,0.000445375792634055
ACODON_clean,7.1439,1.5345504224154,4.65537,1.14924,0.520346,0.59800243704,1505.09,48.8636363636364,28.4090909090909,18.1818181818182,0,0,0,2.27272727272727,2.27272727272727,16,4.65116279069767,62,0.720930232558139,0.0454513725,0.000735145153353675
ACOGAB_clean,5.20085,1.3358564908162,3.89327,1.15458,0.482082,0.55660223556,1240.99,36.7816091954023,41.3793103448276,4.59770114942529,13.7931034482759,2.29885057471264,0,0,1.14942528735632,8,3.125,29,0.453125,0.0442174974,0.0010987278661032
ACOGEF_clean,5.20115,1.31712029740078,3.94888,1.25952,0.440168,0.55440039936,1138.35,36.7816091954023,41.3793103448276,4.59770114942529,13.7931034482759,2.29885057471264,0,0,1.14942528735632,8,3.125,29,0.453125,0.0413935867,0.00114959439282841
ACOLOV_clean,8.42183,1.52141623551175,5.53552,0.863411,0.786879,0.679399984269,2579.3,45.6140350877193,35.0877192982456,16.6666666666667,0,0,0,0,2.63157894736842,12.6666666666667,5.76923076923077,129,0.620192307692308,0.0595076652,0.00114882314509526
ACUJOZ_manual,11.50806,1.47060529890523,7.82539,0.694288,1.0644,0.7390001472,3375.59,50.7042253521127,22.5352112676056,21.1267605633803,0,0,0,0,5.63380281690141,7.5,11.1111111111111,505,0.779320987654321,0.0730154246,0.00245639105413752
ACUTOI_clean,5.192,1.14431808163625,4.5372,1.71994,0.236985,0.4075999809,477.29,35.4838709677419,29.0322580645161,22.5806451612903,3.2258064516129,0,0,3.2258064516129,6.45161290322581,7,18.1818181818182,53,0.602272727272727,0.0185868025,0.000642844353974995
ADARAA_clean,12.29205,2.27598101752158,5.40077,0.881935,0.787813,0.694799858155,2485.27,54.5454545454545,22.7272727272727,10.2272727272727,4.54545454545455,4.54545454545455,0,0,3.40909090909091,6,6.25,913,0.792534722222222,0.0571522973,0.00142556398706969
ADASEF_clean,21.62414,1.97967241870203,10.92309,0.435607,1.94258,0.84620144606,4179.02,46.3917525773196,21.6494845360825,13.4020618556701,12.3711340206186,0,0,0,6.18556701030928,4.33333333333333,13.3333333333333,277,0.769444444444444,0.1093822062,0.00315208516204754
