MOF name,LCD (Å),LCD/PLD,PLD (Å),density (g/cm3),Pore Volume (cm3/g),Porosity,Surface Area (m2/g),%C,%H,%O,%N,%Halojen,%Metalloids,%Ametal,%Metal,O-to-M,MP,TDU,DU,U_CH4 (mol/kg),D_CH4 (cm2/s)
ABAYIO_clean,11.39486,2.63611252486929,4.3226,0.949126,0.69917,0.66360042542,1505.31,42.8571428571429,14.2857142857143,28.5714285714286,0,7.14285714285714,0,0,7.14285714285714,8,16.6666666666667,241,0.836805555555556,0.9723697654,3.94116253435541E-06
ABAYOU_clean,11.27344,2.49921078300967,4.5108,0.979267,0.677854,0.663800053018,1494.4,42.8571428571429,14.2857142857143,28.5714285714286,0,7.14285714285714,0,0,7.14285714285714,8,16.6666666666667,241,0.836805555555556,1.0147940115,0.000011340205478273
ABETIN_clean,9.47418,1.20883604850563,7.83744,0.597233,1.22264,0.73020095512,3810.89,53.0612244897959,36.734693877551,0,8.16326530612245,0,0,0,2.04081632653061,0,3.84615384615385,273,0.65625,1.0621717142,0.000315546476251208
ABEXEM_clean,4.82084,1.16352384928958,4.14331,1.76082,0.280551,0.49399981182,550.193,38.8888888888889,11.1111111111111,33.3333333333333,11.1111111111111,0,0,0,5.55555555555556,12,14.2857142857143,49,0.875,0.4400668443,2.52098402825328E-05
ABEXEN_clean,18.8079,1.37097109267881,13.71867,0.674371,1.1166,0.7530026586,2447.09,50,25,20,0,0,0,2.5,2.5,16,5,181,0.754166666666667,1.0505858876,0.000130045646995567
ABEXIQ_clean,4.80529,1.18097141017417,4.06893,1.7876,0.267174,0.4776002424,534.065,38.8888888888889,11.1111111111111,33.3333333333333,11.1111111111111,0,0,0,5.55555555555556,12,14.2857142857143,49,0.875,0.4364432039,2.95177901244167E-05
ABEXOW_clean,4.7727,1.17867435870207,4.04921,1.81243,0.277307,0.50259952601,523.222,38.8888888888889,11.1111111111111,33.3333333333333,11.1111111111111,0,0,0,5.55555555555556,12,14.2857142857143,49,0.875,0.4348452121,0.000035382894294767
ABEYAJ_clean,4.73097,1.19123001384867,3.9715,1.90641,0.245593,0.46820095113,479.276,38.8888888888889,11.1111111111111,33.3333333333333,11.1111111111111,0,0,0,5.55555555555556,12,14.2857142857143,49,0.875,0.4212222312,2.86694167447399E-05
ABEYEN_clean,4.70447,1.19295002485064,3.94356,1.9293,0.240606,0.4642011558,463.392,38.8888888888889,11.1111111111111,33.3333333333333,11.1111111111111,0,0,0,5.55555555555556,12,14.2857142857143,49,0.875,0.4151012959,1.96957215572415E-05
ABEYIR_clean,4.69665,1.19756593223062,3.92183,1.96962,0.235578,0.46399914036,446.707,38.8888888888889,11.1111111111111,33.3333333333333,11.1111111111111,0,0,0,5.55555555555556,12,14.2857142857143,49,0.875,0.4164090152,2.14452039094829E-05
ABIYIV_clean,4.33176,1.13269060301074,3.82431,1.34661,0.331055,0.44580197355,418.836,44.9438202247191,31.4606741573034,8.98876404494382,11.2359550561798,0,0,0,3.37078651685393,5.33333333333333,7.5,105,0.65625,0.8327686381,0.00001774928717691
ABUWOJ_clean,5.07969,1.26034701356444,4.03039,1.15833,0.536118,0.62100156294,1506.68,42.8571428571429,25,25,0,0,0,0,7.14285714285714,7,16.6666666666667,69,0.71875,1.4658794079,6.43156236186955E-05
ACAJIZ_clean,6.1865,1.07770484492478,5.74044,1.30148,0.370656,0.48240137088,753.879,37.9310344827586,41.3793103448276,13.7931034482759,3.44827586206897,0,0,0,3.44827586206897,8,9.09090909090909,41,0.465909090909091,1.0112265061,0.000038337603835826
ACAJOF_clean,6.86398,1.1243541988134,6.10482,1.21871,0.420936,0.51299891256,920.046,37.7049180327869,42.6229508196721,13.1147540983607,3.27868852459016,0,0,0,3.27868852459016,8,8.69565217391304,41,0.445652173913043,1.0420222584,2.48215734101515E-05
ACIBIY_clean,5.10081,1.36603348125216,3.73403,1.73515,0.264761,0.45940004915,525.866,22.2222222222222,22.2222222222222,44.4444444444444,0,0,0,0,11.1111111111111,8,50,37,0.513888888888889,0.563046742,1.60064088844908E-06
ACIBOE_clean,8.25776,1.17452718146531,7.03071,1.10094,0.595309,0.65539949046,1873.86,45,15,32.5,0,0,0,0,7.5,8.66666666666667,16.6666666666667,61,0.847222222222222,0.8911043228,0.000220294199251186
ACODON_clean,7.1439,1.5345504224154,4.65537,1.14924,0.520346,0.59800243704,1505.09,48.8636363636364,28.4090909090909,18.1818181818182,0,0,0,2.27272727272727,2.27272727272727,16,4.65116279069767,62,0.720930232558139,1.5665312374,6.01644304417801E-05
ACOGAB_clean,5.20085,1.3358564908162,3.89327,1.15458,0.482082,0.55660223556,1240.99,36.7816091954023,41.3793103448276,4.59770114942529,13.7931034482759,2.29885057471264,0,0,1.14942528735632,8,3.125,29,0.453125,2.5236093221,1.56727185927662E-05
ACOGEF_clean,5.20115,1.31712029740078,3.94888,1.25952,0.440168,0.55440039936,1138.35,36.7816091954023,41.3793103448276,4.59770114942529,13.7931034482759,2.29885057471264,0,0,1.14942528735632,8,3.125,29,0.453125,2.3005163077,2.54447891746312E-05
ACOLOV_clean,8.42183,1.52141623551175,5.53552,0.863411,0.786879,0.679399984269,2579.3,45.6140350877193,35.0877192982456,16.6666666666667,0,0,0,0,2.63157894736842,12.6666666666667,5.76923076923077,129,0.620192307692308,1.0651452559,0.00022135423301887
ACUFEK_clean,15.55627,1.72675344684242,9.00897,0.559431,1.40679,0.78700193649,3941.72,51.6129032258064,25.8064516129032,12.9032258064516,6.45161290322581,0,0,0,3.2258064516129,8,6.25,289,0.752604166666667,0.7784034349,0.000226615042068527
ACUJOZ_manual,11.50806,1.47060529890523,7.82539,0.694288,1.0644,0.7390001472,3375.59,50.7042253521127,22.5352112676056,21.1267605633803,0,0,0,0,5.63380281690141,7.5,11.1111111111111,505,0.779320987654321,0.7805763705,0.000260809159097057
ACUTOI_clean,5.192,1.14431808163625,4.5372,1.71994,0.236985,0.4075999809,477.29,35.4838709677419,29.0322580645161,22.5806451612903,3.2258064516129,0,0,3.2258064516129,6.45161290322581,7,18.1818181818182,53,0.602272727272727,1.0817164945,2.06622755586467E-05
ADARAA_clean,12.29205,2.27598101752158,5.40077,0.881935,0.787813,0.694799858155,2485.27,54.5454545454545,22.7272727272727,10.2272727272727,4.54545454545455,4.54545454545455,0,0,3.40909090909091,6,6.25,913,0.792534722222222,1.0439695042,0.000123119685042484
ADASAB_charged,22.82402,1.69190386460037,13.49014,0.343942,2.53996,0.87359892232,4829.51,46.3235294117647,24.2647058823529,16.1764705882353,8.82352941176471,0,0,0,4.41176470588235,7.33333333333333,9.52380952380952,373,0.740079365079365,0.4447107305,0.000654824059066834
ADASEF_clean,21.62414,1.97967241870203,10.92309,0.435607,1.94258,0.84620144606,4179.02,46.3917525773196,21.6494845360825,13.4020618556701,12.3711340206186,0,0,0,6.18556701030928,4.33333333333333,13.3333333333333,277,0.769444444444444,0.6579374765,0.000381220296875828
ADASIJ_clean,18.23438,2.7626843872344,6.60024,0.629251,1.21573,0.76499931823,3491.36,47.8260869565217,26.0869565217391,21.7391304347826,0,0,0,0,4.34782608695652,10,9.09090909090909,193,0.731060606060606,0.8448985669,0.000331841935955576
ADASOP_clean,18.07263,2.69199935651661,6.71346,0.63164,1.24216,0.7845979424,3519.51,47.8260869565217,26.0869565217391,21.7391304347826,0,0,0,0,4.34782608695652,10,9.09090909090909,193,0.731060606060606,0.9382508655,0.000335869801448276
ADASUV_clean,17.16775,2.54971633101646,6.7332,0.625693,1.22616,0.76719972888,3636.01,47.1428571428571,25.7142857142857,22.8571428571429,0,0,0,0,4.28571428571429,10.6666666666667,9.09090909090909,193,0.731060606060606,0.7675027424,0.000295148339446506
ADATAC_clean,26.33515,2.56268993817856,10.27637,0.33727,2.5825,0.870999775,5129.28,48.5714285714286,28.5714285714286,14.2857142857143,5.71428571428571,0,0,0,2.85714285714286,10,5.88235294117647,289,0.708333333333333,0.6849218747,0.000727484147283321
