StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,G_solv,DeltaG_sol,solv_dip,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,,,,,,,,,,,,,,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
ABICJYZKIYUWEE-UHFFFAOYSA-N,C1(C(=O)NC(=O)NC1=O)[N+](=O)[O-],Train,-2.28,173.0848,183,87.688,-694.535976,-0.02033,5.5512,0.19919,0.34053,310.5214844,-2.47641,1.97523,-0.66516,0.84196,-3.29649,,,,,,,,,,,,,,15,15761.5,18965.5,24683.5,0.614626859,0.790140558,1,3,144.2100306,-172.5761907,316.7862212,5042,0.062829477,0.023130593
ADIMAYPTOBDMTL-UHFFFAOYSA-N,c1ccc(cc1)C1=NC(C(=O)Nc2ccc(cc12)Cl)O,Train,-3.95,286.7171,205,193.062,-1298.231634,-0.01781,6.9716,0.23964,0.28028,483.7244263,-1.4361,-0.80515,-0.77795,0.67298,-2.53017,,,,,,,,,,,,,,31,28135.5,28789.5,40020,0.587792679,0.592048234,0.894574116,4,80.17453683,-204.379352,284.5538888,7085,0.038041765,0.017338249
AFOGBLYPWJJVAL-UHFFFAOYSA-N,CCCCNC(=O)NS(=O)(=O)c1ccccc1,Test,-3.05,256.319,131,239.975,-1161.960559,-0.020852,8.5554,0.26786,0.293,494.6982117,-2.61941,-2.54532,-0.97094,2.33225,-1.88709,,,,,,,,,,,,,,33,22410,35990,36743,0.485869347,0.561473181,0.838178838,2,-1.512492662,-299.8293698,298.3168772,7404,0.040291312,0.021327646
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,c1cc(cc(c1)[N+](=O)[O-])C(=O)O,Test,-1.71997,167.1208,141,100.033,-625.274055,-0.017199,3.5778,0.19322,0.32989,326.756073,-2.12886,-0.03167,-0.71122,0.81821,-1.62496,,,,,,,,,,,,,,17,14167.5,17868.5,28839.5,0.423495012,0.529651247,0.98586586,3,132.3712229,-166.3065234,298.6777463,6975,0.042821182,0.01858299
AGMMTXLNIQSRCG-UHFFFAOYSA-N,CCC1Nc2cc(c(cc2C(=O)N1)S(=O)(=O)N)Cl,Test,-3.29,289.7361,275.5,204.96,-1636.43452,-0.027696,11.8175,0.2495,0.26897,468.5610657,-2.63081,-1.15669,-1.12123,2.30103,-2.70107,,,,,,,,,,,,,,30,19565.5,30383,39842,0.476231573,0.630041303,0.762782622,3,94.829107,-353.7635325,448.5926395,7666,0.049699772,0.020396829
AIKKULXCBHRFOS-UHFFFAOYSA-N,CN(C=O)C(=O)CSP(=S)(OC)OC,Train,-2,257.2589,25.5,187.646,-1729.203515,-0.01806,3.0386,0.25931,0.26748,452.1102905,-2.96326,-0.5392,-0.8687,1.66285,-2.44008,,,,,,,,,,,,,,26,20868.5,30176.5,36638,0.580349957,0.629090938,0.794716739,4,-50.44700839,-287.7081867,237.2611783,7647,-0.037623668,0.009912398
AIVXUNRQBRKFJO-UHFFFAOYSA-N,C1CSc2cc(sc2C1=O)S(=O)(=O)N,Test,-3.494,249.3172,213.5,159.168,-1745.815732,-0.020037,6.2892,0.21892,0.27005,399.8743896,-2.52427,-1.89894,-1.11956,2.30716,-0.43318,,,,,,,,,,,,,,21,17523,25190,33105,0.556952477,0.707484142,0.86664503,5,71.10069486,-224.1704648,295.2711597,3968,0.039062073,0.009108922
AMEKQAFGQBKLKX-UHFFFAOYSA-N,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,Test,-2.43,267.299,120,162.031,-1218.7325,-0.019717,7.3455,0.25978,0.25117,464.4553833,-3.12288,-2.11938,-0.97683,2.15043,-1.59607,,,,,,,,,,,,,,31,19438.5,30098,40630.5,0.44334417,0.605593245,0.721429594,4,-22.41669847,-284.610974,262.1942755,6944,-0.040986603,0.014630576
AMMPGYPPRLWMLW-UHFFFAOYSA-N,CCOc1ccc(cc1N)[N+](=O)[O-],Train,-3.211,182.1786,96.5,131.07,-645.850713,-0.014677,9.9868,0.22839,0.24934,378.9792175,-1.41035,-1.11135,-0.86483,0.49341,-1.78177,,,,,,,,,,,,,,23,14403,21852.5,33347.5,0.387218045,0.560439571,0.687499993,3,92.66351637,-197.6693059,290.3328222,7542,0.038495468,0.012174682
AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,Train,-0.6,88.1492,-78.45,91.172,-272.862556,-0.006475,2.176,0.3188,0.30224,294.401123,-0.81241,-2.22606,-0.81241,0.51176,-0.81241,,,,,,,,,,,,,,18,10637,19878.5,20410,0.45021645,0.480258549,0.896551724,2,-9.954631169,-60.1902282,50.23559703,1360,-0.044257521,0.014007877
