MOF,LCD (Å),LCD/PLD,PLD (Å),density (g/cm3),Pore Volume (cm3/g),Porosity,Surface Area (m2/g),%C,%H,%O,%N,%Halojen,%Metalloids,%Ametal,%Metal,Ot-M,MP,TDU,DU,Qst_N2 (kl/mol),U_N2 (mol/kg),D_N2 (cm2/s)
ABAYIO_clean,11.39486,2.63611252486929,4.3226,0.949126,0.69917,0.66360042542,1505.31,42.8571428571429,14.2857142857143,28.5714285714286,0,7.14285714285714,0,0,7.14285714285714,8,16.6666666666667,241,0.836805555555556,12.880164831,0.3214770161,2.62791524969576E-05
ABAYOU_clean,11.27344,2.49921078300967,4.5108,0.979267,0.677854,0.663800053018,1494.4,42.8571428571429,14.2857142857143,28.5714285714286,0,7.14285714285714,0,0,7.14285714285714,8,16.6666666666667,241,0.836805555555556,12.9022429762,0.3218445688,3.62444351381493E-05
ABETIN_clean,9.47418,1.20883604850563,7.83744,0.597233,1.22264,0.73020095512,3810.89,53.0612244897959,36.734693877551,0,8.16326530612245,0,0,0,2.04081632653061,0,3.84615384615385,273,0.65625,8.1530383514,0.3942363954,0.000369710684677751
ABEXEM_clean,4.82084,1.16352384928958,4.14331,1.76082,0.280551,0.49399981182,550.193,38.8888888888889,11.1111111111111,33.3333333333333,11.1111111111111,0,0,0,5.55555555555556,12,14.2857142857143,49,0.875,14.4052249937,0.1818754856,6.47020646314382E-05
ABEXEN_clean,18.8079,1.37097109267881,13.71867,0.674371,1.1166,0.7530026586,2447.09,50,25,20,0,0,0,2.5,2.5,16,5,181,0.754166666666667,10.3423321717,0.3557860543,0.000275287175705909
ABEXIQ_clean,4.80529,1.18097141017417,4.06893,1.7876,0.267174,0.4776002424,534.065,38.8888888888889,11.1111111111111,33.3333333333333,11.1111111111111,0,0,0,5.55555555555556,12,14.2857142857143,49,0.875,15.2494134971,0.196980481,0.000052188851531891
ABEXOW_clean,4.7727,1.17867435870207,4.04921,1.81243,0.277307,0.50259952601,523.222,38.8888888888889,11.1111111111111,33.3333333333333,11.1111111111111,0,0,0,5.55555555555556,12,14.2857142857143,49,0.875,17.9103002219,0.2639895152,5.71669674980431E-05
ABEYAJ_clean,4.73097,1.19123001384867,3.9715,1.90641,0.245593,0.46820095113,479.276,38.8888888888889,11.1111111111111,33.3333333333333,11.1111111111111,0,0,0,5.55555555555556,12,14.2857142857143,49,0.875,14.0780229959,0.1465010323,0.000104630094799459
ABEYEN_clean,4.70447,1.19295002485064,3.94356,1.9293,0.240606,0.4642011558,463.392,38.8888888888889,11.1111111111111,33.3333333333333,11.1111111111111,0,0,0,5.55555555555556,12,14.2857142857143,49,0.875,15.8553916126,0.1914347678,5.30409250010299E-05
ABEYIR_clean,4.69665,1.19756593223062,3.92183,1.96962,0.235578,0.46399914036,446.707,38.8888888888889,11.1111111111111,33.3333333333333,11.1111111111111,0,0,0,5.55555555555556,12,14.2857142857143,49,0.875,13.8128781897,0.128797932,9.21962194131729E-05
ABIYIV_clean,4.33176,1.13269060301074,3.82431,1.34661,0.331055,0.44580197355,418.836,44.9438202247191,31.4606741573034,8.98876404494382,11.2359550561798,0,0,0,3.37078651685393,5.33333333333333,7.5,105,0.65625,16.1907073877,0.1978598698,0.000117383083327046
ABUWOJ_clean,5.07969,1.26034701356444,4.03039,1.15833,0.536118,0.62100156294,1506.68,42.8571428571429,25,25,0,0,0,0,7.14285714285714,7,16.6666666666667,69,0.71875,13.4395824374,0.4120689435,0.000118825304740463
ACAJIZ_clean,6.1865,1.07770484492478,5.74044,1.30148,0.370656,0.48240137088,753.879,37.9310344827586,41.3793103448276,13.7931034482759,3.44827586206897,0,0,0,3.44827586206897,8,9.09090909090909,41,0.465909090909091,12.8594607796,0.2524178657,0.000080254206750223
