StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,G_solv,DeltaG_sol,LsoluHsolv,LsolvHsolu,SASA,Most_neg,Most_pos,O_charges,C_charges,Het_charges,solv_dip,,,,,,,,,,,,,,,,,,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std,,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol
AAEVYOVXGOFMJO-UHFFFAOYSA-N,S(C)c1nc(NC(C)C)nc(NC(C)C)n1,Test,-4.1,241.3536,119,208.877,-1064.2983,-0.010691,0.30107,0.25498,504.5178833,-0.83033,0.62646,0,-2.24001,-2.87268,3.5396,,,,,,,,,,,,,,,,,,0.488372093,0.649411448,0.889768814,6,-74.17425739,-171.1652763,96.99101886,4734,-0.036156586,0.011322039,,-1047.059943,-1047.06626,-0.00631682,-1046.754997,-1046.760289,-0.005292
ABICJYZKIYUWEE-UHFFFAOYSA-N,O=[N+]([O-])C1C(=O)NC(=O)NC1=O,Train,-2.28,173.0848,183,87.688,-694.535976,-0.02033,0.19919,0.34053,310.5214844,-0.66516,0.84196,-2.47641,1.97523,-3.29649,5.5512,,,,,,,,,,,,,,,,,,0.614626859,0.790140558,1,3,144.2100306,-172.5761907,316.7862212,5042,0.062829477,0.023130593,,-681.6287526,-681.639644,-0.010891444,-681.555996,-681.567485,-0.011489
ADIMAYPTOBDMTL-UHFFFAOYSA-N,Clc1cc2C(=NC(O)C(=O)Nc2cc1)c1ccccc1,Train,-3.95,286.7171,205,193.062,-1298.231634,-0.01781,0.23964,0.28028,483.7244263,-0.77795,0.67298,-1.4361,-0.80515,-2.53017,6.9716,,,,,,,,,,,,,,,,,,0.587792679,0.592048234,0.894574116,4,80.17453683,-204.379352,284.5538888,7085,0.038041765,0.017338249,,-1277.172879,-1277.185886,-0.01300682,-1276.948572,-1276.964656,-0.016084
AEXMKKGTQYQZCS-UHFFFAOYSA-N,C(CC)(CC)(C)C,Train,-4.23,100.2034,-135,101.009,-276.218571,-0.000922,0.32435,0.329,307.255127,-0.69092,0.2397,0,-3.75959,0,0.0889,,,,,,,,,,,,,,,,,,0.806122449,0.875979912,0.957771692,0,0,0,0,0,0,0,,-271.1974361,-271.1926773,0.004758771,-270.967684,-270.963182,0.004502
AFFLGGQVNFXPEV-UHFFFAOYSA-N,C(=C)CCCCCCCC,Train,-5.51,140.268,-66.15,145.198,-392.880117,-0.002221,0.32219,0.28248,428.4981995,-0.68812,0.24795,0,-4.64298,0,0.6343,,,,,,,,,,,,,,,,,,0.333362754,0.359782702,0.929292974,2,-13.89209476,-13.89209476,0,304,-0.02441876,0.002510087,,-385.7171899,-385.7113106,0.005879365,-385.419917,-385.413903,0.006014
AFOGBLYPWJJVAL-UHFFFAOYSA-N,S(=O)(=O)(NC(=O)NCCCC)c1ccccc1,Train,-3.05,256.319,131,239.975,-1161.960559,-0.020852,0.26786,0.293,494.6982117,-0.97094,2.33225,-2.61941,-2.54532,-1.88709,8.5554,,,,,,,,,,,,,,,,,,0.485869347,0.561473181,0.838178838,2,-1.512492662,-299.8293698,298.3168772,7404,0.040291312,0.021327646,,-1142.575567,-1142.593507,-0.01793966,-1142.310013,-1142.330053,-0.02004
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,O=[N+]([O-])c1cc(C(=O)O)ccc1,Train,-1.71997,167.1208,141,100.033,-625.274055,-0.017199,0.19322,0.32989,326.756073,-0.71122,0.81821,-2.12886,-0.03167,-1.62496,3.5778,,,,,,,,,,,,,,,,,,0.423495012,0.529651247,0.98586586,3,132.3712229,-166.3065234,298.6777463,6975,0.042821182,0.01858299,,-613.6671197,-613.6763923,-0.009272663,-613.568486,-613.577826,-0.00934
AFYCEAFSNDLKSX-UHFFFAOYSA-N,O=c1oc2c(c(C)c1)ccc(N(CC)CC)c2,Train,-4.001,231.2938,73.5,150.961,-748.743545,-0.015825,0.25979,0.23023,459.4943542,-0.71667,0.765,-1.1891,-2.61005,-1.64531,10.9806,,,,,,,,,,,,,,,,,,0.443626206,0.607584536,0.70380355,3,59.16443237,-233.1116188,292.2760511,8767,0.032123871,0.007560055,,-735.0077565,-735.0082842,-0.000527782,-734.713959,-734.714736,-0.000777
AGAHNABIDCTLHW-UHFFFAOYSA-N,Fc1ccc(C(=O)CCCN2CCC(O)(c3ccc(C)cc3)CC2)cc1,Train,-4.347,355.4513,118.25,251.597,-1158.709452,-0.013558,0.25199,0.24059,645.319397,-0.79361,0.58867,-1.40728,-4.46255,-2.32119,3.8766,,,,,,,,,,,,,,,,,,0.403543989,0.525868805,0.699751856,11,33.78135497,-150.0375021,183.8188571,3032,0.030278002,0.006925774,,-1137.542578,-1137.546799,-0.00422121,-1137.075396,-1137.080935,-0.005539
AGMMTXLNIQSRCG-UHFFFAOYSA-N,Clc1c(S(=O)(=O)N)cc2C(=O)NC(CC)Nc2c1,Train,-3.29,289.7361,275.5,204.96,-1636.43452,-0.027696,0.2495,0.26897,468.5610657,-1.12123,2.30103,-2.63081,-1.15669,-2.70107,11.8175,,,,,,,,,,,,,,,,,,0.476231573,0.630041303,0.762782622,3,94.829107,-353.7635325,448.5926395,7666,0.049699772,0.020396829,,-1611.170483,-1611.194335,-0.02385143,-1610.955791,-1610.981073,-0.025282
