name,k,VF,density,ASA_grav,ASA_vol,LPD,PLD,volume,,,,N_atoms,,N_metal_containing_bonds,N_metal_nonmetal_bonds,N_metal_linker_bonds,formula,metal_nonmetal_ratio,metal_node_connectivity,metal_node_name,N_atoms_per_linker,linker_SMILES,N_ccs
SR_acs_v1-6c_Fe_1_Ch_2B_1DoU_Ch_2x2x2,0.31563,0.8936,0.240958,5937.46,1430.68,20.60493,18.62971,123838.7865,,,,1504,,240,240,192,C48Fe3H30O13,0.032967033,6,6c_Fe_1_Ch,30,O:C(:O)C1:C:C:C(C=CC2:C:C:C(:C:C:2)C(:O):O):C:C:1,1
SR_ahq_v1-6c_Ni_1_Ch_v2-6c_B_Ch_v3-4c_Ni_1_Ch_ntn_edge_1B_2F_Ch_2x2x1,0.2827,0.64116,1.11209,1633.43,1816.51,7.34294,4.7095,44794.39379,,,,1608,,540,504,432,C30F6H7Ni5O19,0.080645161,"4,6","4c_Ni_1_Ch,6c_Ni_1_Ch","6,84",O:C(:O)C(:O):O___O:C(:O)C1:C:C(F):C(:C:C:1F)C1:C(C2:C:C(F):C(:C:C:2F)C(:O):O):C(C2:C:C(F):C(:C:C:2F)C(:O):O):C(C2:C:C(F):C(:C:C:2F)C(:O):O):C(C2:C:C(F):C(:C:C:2F)C(:O):O):C:1C1:C:C(F):C(:C:C:1F)C(:O):O,1
SR_ahq_v1-6c_Ni_1_Ch_v2-6c_B_Ch_v3-4c_Ni_1_Ch_ntn_edge_1B_2CN_Ch_2x2x1,0.30073,0.59614,1.15312,930.142,1072.57,6.12482,3.75618,44977.19477,,,,1752,,540,504,432,C36H7N6Ni5O19,0.073529412,"4,6","4c_Ni_1_Ch,6c_Ni_1_Ch","96,6",N#CC1:C:C(:C(C#N):C:C:1C(:O):O)C1:C(C2:C:C(C#N):C(:C:C:2C#N)C(:O):O):C(C2:C:C(C#N):C(:C:C:2C#N)C(:O):O):C(C2:C:C(C#N):C(:C:C:2C#N)C(:O):O):C(C2:C:C(C#N):C(:C:C:2C#N)C(:O):O):C:1C1:C:C(C#N):C(:C:C:1C#N)C(:O):O___O:C(:O)C(:O):O,1
SR_ahr_v1-6c_CdZn_1_Ch_v2-6c_B_Ch_v3-3c_pyrrole_Ch_2B_2OH_Ch_ntn_edge_2x2x2,0.42074,0.3664,1.61743,0,0,4.53505,1.49988,68486.54494,,,,5160,,384,384,288,C108Cd3H60N6O37Zn1,0.018957346,6,6c_CdZn_1_Ch,,None,1
SR_acs_v1-6c_Fe_1_Ch_1B_4CN_Ch_2x2x2,0.75459,0.65378,0.86423,1854.18,1602.44,8.13857,7.69541,34664.03747,,,,1024,,240,240,192,C36Fe3N12O13,0.049180328,6,6c_Fe_1_Ch,20,N#CC1:C(C#N):C(C(:O):O):C(C#N):C(C#N):C:1C(:O):O,1
SR_ahr_v1-6c_CdZn_1_Ch_v2-6c_B_Ch_v3-3c_B_Ch_2B_4F_Ch_1x1x1,0.09633,0.886,0.315875,4373.76,1381.56,24.31932,19.56814,102948.3442,,,,1149,,48,48,36,C228Cd3F120H18O13Zn1,0.01055409,6,6c_CdZn_1_Ch,378,O:C(:O)C1:C(F):C(F):C(:C(F):C:1F)C1:C(F):C(F):C(C2:C:C3:C:C(:C:2)C2:C(F):C(F):C(:C(F):C:2F)C2:C(F):C(F):C(:C(F):C:2F)C2:C4C5:C(F):C(F):C(:C(F):C:5F)C5:C(F):C(F):C(C6:C:C(:C:C(:C:6)C6:C(F):C(F):C(:C(F):C:6F)C6:C(F):C(F):C(C7:C:C(:C:C(:C:7)C7:C(F):C(F):C(:C(F):C:7F)C7:C(F):C(F):C(:C(F):C:7F)C7:C:2C2:C(F):C(F):C(:C(F):C:2F)C2:C(F):C(F):C(C8:C:C(:C:C(:C:8)C8:C(F):C(F):C(:C(F):C:8F)C8:C(F):C(F):C(C9:C:C(:C:C(:C:9)C9:C(F):C(F):C(:C(F):C:9F)C9:C(F):C(F):C(:C(F):C:9F)C:4:C:7C4:C(F):C(F):C(:C(F):C:4F)C4:C(F):C(F):C(C7:C:C(:C:C(:C:7)C7:C(F):C(F):C(:C(F):C:7F)C7:C(F):C(F):C3:C(F):C:7F)C3:C(F):C(F):C(:C(F):C:3F)C3:C(F):C(F):C(C(:O):O):C(F):C:3F):C(F):C:4F)C3:C(F):C(F):C(:C(F):C:3F)C3:C(F):C(F):C(C(:O):O):C(F):C:3F):C(F):C:8F)C3:C(F):C(F):C(:C(F):C:3F)C3:C(F):C(F):C(C(:O):O):C(F):C:3F):C(F):C:2F)C2:C(F):C(F):C(:C(F):C:2F)C2:C(F):C(F):C(C(:O):O):C(F):C:2F):C(F):C:6F)C2:C(F):C(F):C(:C(F):C:2F)C2:C(F):C(F):C(C(:O):O):C(F):C:2F):C(F):C:5F):C(F):C:1F,1
SR_acs_v1-6c_Al_1_Ch_1B_2SH_Ch_2x2x2,0.26542,0.67822,0.794833,2495.37,1983.4,8.58667,6.51674,30009.08854,,,,928,,240,240,192,Al3C24H12O13S6,0.054545455,6,6c_Al_1_Ch,18,O:C(:O)C1:C:C(S):C(:C:C:1S)C(:O):O,1
SR_ahr_v1-6c_CdZn_1_Ch_v2-6c_B_Ch_v3-3c_pyrrole_Ch_ntn_edge_2B_2F_Ch_1x1x1,0.23559,0.53954,1.19866,0,0,5.14298,2.72909,15218.04504,,,,753,,48,48,36,C144Cd3F36H48N6O13Zn1,0.016194332,6,6c_CdZn_1_Ch,246,O:C(:O)N1:C2:C:C:C:1C1:C:C(F):C(:C:C:1F)C1:C:C(F):C(:C:C:1F)C1:C:C:C(C3:C:C(F):C(:C:C:3F)C3:C:C(F):C(:C:C:3F)C3:C4C5:C:C(F):C(:C:C:5F)C5:C:C(F):C(:C:C:5F)C5:C:C:C(C6:C:C(F):C(:C:C:6F)C6:C:C(F):C(:C:C:6F)C6:C:C:C(C7:C:C(F):C(:C:C:7F)C7:C:C(F):C(:C:C:7F)C7:C(C8:C:C(F):C(:C:C:8F)C8:C:C(F):C2:C:C:8F):C:4C2:C:C(F):C(:C:C:2F)C2:C:C(F):C(:C:C:2F)C2:C:C:C(C4:C:C(F):C(:C:C:4F)C4:C:C(F):C(:C:C:4F)C4:C:C:C(C8:C:C(F):C(:C:C:8F)C8:C:C(F):C(:C:C:8F)C:3:7):N:4C(:O):O):N:2C(:O):O):N:6C(:O):O):N:5C(:O):O):N:1C(:O):O,1
SR_afy_v1-4c_Cd_1_Ch_v2-4c_1anC_Ch_1TrU_Ch_1x1x2,0.0671,0.87178,0.392649,4077.37,1600.98,23.02072,21.51037,42678.83742,,,,448,,192,192,192,C29Cd3O24,0.056603774,4,4c_Cd_1_Ch,"8,34",O:C(:O)C#CC(:O):O___O:C(:O)C#CC(C#CC(:O):O)(C#CC(:O):O)C#CC(C#CC(:O):O)(C#CC(:O):O)C#CC(:O):O,1
SR_ahr_v1-6c_Zr_1_Ch_v2-6c_Zr_1_Ch_v3-3c_pyrrole_Ch_ntn_edge_2B_4CN_Ch_1x1x1,0.10531,0.617,0.944798,1421.66,1343.18,9.64192,5.13378,35651.7599,,,,1278,,288,288,72,C108H28N39O32Zr6,0.028985507,6,6c_Zr_1_Ch,"110,110,110",N#CC1:C(C#N):C(:C(C#N):C(C#N):C:1C(:O):O)C1:C(C#N):C(C#N):C(:C(C#N):C:1C#N)C1:C:C:C(C(:O):O):N:1C1:C(C#N):C(C#N):C(:C(C#N):C:1C#N)C1:C(C#N):C(C#N):C(:C(C#N):C:1C#N)N1:C(:C:C:C:1C1:C(C#N):C(C#N):C(:C(C#N):C:1C#N)C1:C(C#N):C(C#N):C(C(:O):O):C(C#N):C:1C#N)C(:O):O___N#CC1:C(C#N):C(:C(C#N):C(C#N):C:1C(:O):O)C1:C(C#N):C(C#N):C(:C(C#N):C:1C#N)C1:C:C:C(C2:C(C#N):C(C#N):C(:C(C#N):C:2C#N)C2:C(C#N):C(C#N):C(:C(C#N):C:2C#N)C2:C:C:C(C3:C(C#N):C(C#N):C(:C(C#N):C:3C#N)C3:C(C#N):C(C#N):C(C(:O):O):C(C#N):C:3C#N):N:2C(:O):O):N:1C(:O):O___N#CC1:C(C#N):C(:C(C#N):C(C#N):C:1C(:O):O)C1:C(C#N):C(C#N):C(:C(C#N):C:1C#N)C1:C:C:C(C2:C(C#N):C(C#N):C(:C(C#N):C:2C#N)C2:C(C#N):C(C#N):C(:C(C#N):C:2C#N)N2:C(:C:C:C:2C2:C(C#N):C(C#N):C(:C(C#N):C:2C#N)C2:C(C#N):C(C#N):C(C(:O):O):C(C#N):C:2C#N)C(:O):O):N:1C(:O):O,1
